congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,
117,President,99913,99,0,USA,100,0,0,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.32,0.283,,,,,,,
117,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.36,0.463,-74.23598,0.89924,699,24,,0.422,0.539
117,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.393,0.402,-22.40082,0.96907,713,9,,-0.498,0.489
117,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.646,-0.404,-141.85497,0.81727,703,66,,0.684,-0.27
117,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.682,0.091,-85.73781,0.88715,716,38,,0.654,0.305
117,House,22108,41,1,AL,200,,,"CARL, Jerry L.",C001054,1958,,0.524,0.521,-57.92576,0.9227,720,26,,0.524,0.521
117,House,22140,41,2,AL,200,,,"MOORE, Barry",M001212,1966,,0.633,-0.076,-108.45818,0.85852,711,60,,0.633,-0.076
117,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.38,0.576,-118.26127,0.84736,714,45,,0.54,0.326
117,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.283,0.022,-83.13235,0.81484,406,33,,0.255,0.047
117,House,21995,93,0,AS,200,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947,,0.413,0.014,,,,,,,
117,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.256,-10.64972,0.98524,716,4,,-0.533,-0.309
117,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.169,-0.011,-30.3178,0.95893,723,14,,-0.462,0.234
117,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.697,-0.482,-123.74291,0.84006,710,58,,0.742,-0.557
117,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.577,-0.292,-122.41913,0.84404,722,54,,0.556,-0.235
